PARAMETRES HYDROTEL VERSION;4.3.1.0000

SOUS MODELE;PENMAN-MONTEITH

UHRH ID; HAUTEUR A LAQUELLE LA VITESSE DU VENT EST MESUREE (2m); HAUTEUR A LAQUELLE L'HUMIDITE EST MESUREE (2m); VITESSE DU VENT A LA HAUTEUR Z (m/s); HAUTEUR DE LA VEGETATION (0.12 SURFACE REFERENCE) (m); RESISTANCE STOMATALE (100 SURFACE REFERENCE) (s/m); COEFFICIENT MULTIPLICATIF OPTIMISATION
301;2;2;2;0.12;100;1
302;2;2;2;0.12;100;1
303;2;2;2;0.12;100;1
304;2;2;2;0.12;100;1
305;2;2;2;0.12;100;1
306;2;2;2;0.12;100;1
307;2;2;2;0.12;100;1
308;2;2;2;0.12;100;1
309;2;2;2;0.12;100;1
310;2;2;2;0.12;100;1
311;2;2;2;0.12;100;1
312;2;2;2;0.12;100;1
313;2;2;2;0.12;100;1
314;2;2;2;0.12;100;1
315;2;2;2;0.12;100;1
316;2;2;2;0.12;100;1
317;2;2;2;0.12;100;1
318;2;2;2;0.12;100;1
319;2;2;2;0.12;100;1
320;2;2;2;0.12;100;1
321;2;2;2;0.12;100;1
322;2;2;2;0.12;100;1
323;2;2;2;0.12;100;1
324;2;2;2;0.12;100;1
325;2;2;2;0.12;100;1
326;2;2;2;0.12;100;1
327;2;2;2;0.12;100;1
328;2;2;2;0.12;100;1
329;2;2;2;0.12;100;1
330;2;2;2;0.12;100;1
331;2;2;2;0.12;100;1
332;2;2;2;0.12;100;1
333;2;2;2;0.12;100;1
334;2;2;2;0.12;100;1
335;2;2;2;0.12;100;1
336;2;2;2;0.12;100;1
337;2;2;2;0.12;100;1
338;2;2;2;0.12;100;1
339;2;2;2;0.12;100;1
340;2;2;2;0.12;100;1
341;2;2;2;0.12;100;1
342;2;2;2;0.12;100;1
343;2;2;2;0.12;100;1
344;2;2;2;0.12;100;1
345;2;2;2;0.12;100;1
346;2;2;2;0.12;100;1
347;2;2;2;0.12;100;1
348;2;2;2;0.12;100;1
349;2;2;2;0.12;100;1
350;2;2;2;0.12;100;1
351;2;2;2;0.12;100;1
352;2;2;2;0.12;100;1
353;2;2;2;0.12;100;1
354;2;2;2;0.12;100;1
355;2;2;2;0.12;100;1
356;2;2;2;0.12;100;1
357;2;2;2;0.12;100;1
358;2;2;2;0.12;100;1
359;2;2;2;0.12;100;1
360;2;2;2;0.12;100;1
361;2;2;2;0.12;100;1
362;2;2;2;0.12;100;1
363;2;2;2;0.12;100;1
364;2;2;2;0.12;100;1
365;2;2;2;0.12;100;1
366;2;2;2;0.12;100;1
367;2;2;2;0.12;100;1
368;2;2;2;0.12;100;1
369;2;2;2;0.12;100;1
370;2;2;2;0.12;100;1
371;2;2;2;0.12;100;1
372;2;2;2;0.12;100;1
373;2;2;2;0.12;100;1
374;2;2;2;0.12;100;1
375;2;2;2;0.12;100;1
376;2;2;2;0.12;100;1
377;2;2;2;0.12;100;1
378;2;2;2;0.12;100;1
379;2;2;2;0.12;100;1
380;2;2;2;0.12;100;1
381;2;2;2;0.12;100;1
382;2;2;2;0.12;100;1
383;2;2;2;0.12;100;1
384;2;2;2;0.12;100;1
385;2;2;2;0.12;100;1
386;2;2;2;0.12;100;1
387;2;2;2;0.12;100;1
388;2;2;2;0.12;100;1
389;2;2;2;0.12;100;1
390;2;2;2;0.12;100;1
391;2;2;2;0.12;100;1
392;2;2;2;0.12;100;1
393;2;2;2;0.12;100;1
394;2;2;2;0.12;100;1
395;2;2;2;0.12;100;1
396;2;2;2;0.12;100;1
397;2;2;2;0.12;100;1
398;2;2;2;0.12;100;1
399;2;2;2;0.12;100;1
400;2;2;2;0.12;100;1
401;2;2;2;0.12;100;1
402;2;2;2;0.12;100;1
403;2;2;2;0.12;100;1
404;2;2;2;0.12;100;1
405;2;2;2;0.12;100;1
406;2;2;2;0.12;100;1
407;2;2;2;0.12;100;1
408;2;2;2;0.12;100;1
409;2;2;2;0.12;100;1
410;2;2;2;0.12;100;1
411;2;2;2;0.12;100;1
412;2;2;2;0.12;100;1
413;2;2;2;0.12;100;1
414;2;2;2;0.12;100;1
415;2;2;2;0.12;100;1
416;2;2;2;0.12;100;1
417;2;2;2;0.12;100;1
418;2;2;2;0.12;100;1
419;2;2;2;0.12;100;1
420;2;2;2;0.12;100;1
421;2;2;2;0.12;100;1
422;2;2;2;0.12;100;1
423;2;2;2;0.12;100;1
424;2;2;2;0.12;100;1
425;2;2;2;0.12;100;1
426;2;2;2;0.12;100;1
427;2;2;2;0.12;100;1
428;2;2;2;0.12;100;1
429;2;2;2;0.12;100;1
430;2;2;2;0.12;100;1
431;2;2;2;0.12;100;1
432;2;2;2;0.12;100;1
433;2;2;2;0.12;100;1
434;2;2;2;0.12;100;1
435;2;2;2;0.12;100;1
436;2;2;2;0.12;100;1
437;2;2;2;0.12;100;1
438;2;2;2;0.12;100;1
439;2;2;2;0.12;100;1
440;2;2;2;0.12;100;1
441;2;2;2;0.12;100;1
442;2;2;2;0.12;100;1
443;2;2;2;0.12;100;1
444;2;2;2;0.12;100;1
445;2;2;2;0.12;100;1
446;2;2;2;0.12;100;1
447;2;2;2;0.12;100;1
448;2;2;2;0.12;100;1
449;2;2;2;0.12;100;1
450;2;2;2;0.12;100;1
451;2;2;2;0.12;100;1
452;2;2;2;0.12;100;1
453;2;2;2;0.12;100;1
454;2;2;2;0.12;100;1
455;2;2;2;0.12;100;1
456;2;2;2;0.12;100;1
457;2;2;2;0.12;100;1
458;2;2;2;0.12;100;1
459;2;2;2;0.12;100;1
460;2;2;2;0.12;100;1
461;2;2;2;0.12;100;1
462;2;2;2;0.12;100;1
463;2;2;2;0.12;100;1
464;2;2;2;0.12;100;1
465;2;2;2;0.12;100;1
466;2;2;2;0.12;100;1
467;2;2;2;0.12;100;1
468;2;2;2;0.12;100;1
469;2;2;2;0.12;100;1
470;2;2;2;0.12;100;1
471;2;2;2;0.12;100;1
472;2;2;2;0.12;100;1
473;2;2;2;0.12;100;1
474;2;2;2;0.12;100;1
475;2;2;2;0.12;100;1
476;2;2;2;0.12;100;1
477;2;2;2;0.12;100;1
478;2;2;2;0.12;100;1
479;2;2;2;0.12;100;1
480;2;2;2;0.12;100;1
481;2;2;2;0.12;100;1
482;2;2;2;0.12;100;1
483;2;2;2;0.12;100;1
484;2;2;2;0.12;100;1
485;2;2;2;0.12;100;1
486;2;2;2;0.12;100;1
487;2;2;2;0.12;100;1
488;2;2;2;0.12;100;1
489;2;2;2;0.12;100;1
490;2;2;2;0.12;100;1
491;2;2;2;0.12;100;1
492;2;2;2;0.12;100;1
493;2;2;2;0.12;100;1
494;2;2;2;0.12;100;1
495;2;2;2;0.12;100;1
